DateTime, Breathing, Vert Accelerometer, Lat Accelerometer, Long Accelerometer
2023-02-03 11:39:45.281+00:00, 513, 4, 854, -343
2023-02-03 11:39:45.320+00:00, 513, 0, 881, -343
2023-02-03 11:39:45.359+00:00, 513, 12, 878, -335
2023-02-03 11:39:45.398+00:00, 513, -8, 885, -335
2023-02-03 11:39:45.437+00:00, 513, 0, 858, -324
2023-02-03 11:39:45.476+00:00, 513, 4, 854, -320
2023-02-03 11:39:45.515+00:00, 513, -27, 893, -316
2023-02-03 11:39:45.554+00:00, 513, -47, 839, -293
2023-02-03 11:39:45.593+00:00, 513, -35, 862, -234
2023-02-03 11:39:45.632+00:00, 513, -191, 1182, -246
2023-02-03 11:39:45.671+00:00, 513, -187, 788, -296
2023-02-03 11:39:45.710+00:00, 513, -144, 597, -273
2023-02-03 11:39:45.750+00:00, 513, 23, 846, -406
2023-02-03 11:39:45.789+00:00, 513, -300, 858, -285
2023-02-03 11:39:45.828+00:00, 513, -296, 835, -261
2023-02-03 11:39:45.867+00:00, 513, -320, 995, -406
2023-02-03 11:39:45.906+00:00, 513, -269, 959, -644
2023-02-03 11:39:45.945+00:00, 513, -476, 1104, -449
2023-02-03 11:39:45.984+00:00, 513, -503, 1057, -35
2023-02-03 11:39:46.023+00:00, 513, -230, 745, -406
2023-02-03 11:39:46.062+00:00, 513, -628, 566, -542
2023-02-03 11:39:46.101+00:00, 513, -519, 784, -616
2023-02-03 11:39:46.140+00:00, 513, -577, 554, -495
2023-02-03 11:39:46.179+00:00, 513, -632, 675, -515
2023-02-03 11:39:46.218+00:00, 513, -456, 718, -445
2023-02-03 11:39:46.257+00:00, 513, -449, 378, -636
2023-02-03 11:39:46.296+00:00, 513, -589, 371, -608
2023-02-03 11:39:46.335+00:00, 513, -546, -39, -351
2023-02-03 11:39:46.375+00:00, 513, -839, -117, -257
2023-02-03 11:39:46.414+00:00, 513, -725, -43, -101
2023-02-03 11:39:46.453+00:00, 513, -1076, -105, -285
2023-02-03 11:39:46.492+00:00, 513, -1229, -394, -250
2023-02-03 11:39:46.531+00:00, 513, -1061, -554, -211
2023-02-03 11:39:46.570+00:00, 513, -1490, -889, -406
2023-02-03 11:39:46.609+00:00, 513, -1533, -956, -538
2023-02-03 11:39:46.648+00:00, 513, -1342, -647, -846
2023-02-03 11:39:46.687+00:00, 513, -2020, -776, -788
2023-02-03 11:39:46.726+00:00, 513, -1888, -183, -780
2023-02-03 11:39:46.765+00:00, 513, -1404, -312, -441
2023-02-03 11:39:46.804+00:00, 513, -250, -741, 300
2023-02-03 11:39:46.843+00:00, 513, -464, -390, -23
2023-02-03 11:39:46.882+00:00, 513, -148, 413, 195
2023-02-03 11:39:46.921+00:00, 513, -667, 300, -476
2023-02-03 11:39:46.960+00:00, 512, -137, -300, -917
2023-02-03 11:39:47.000+00:00, 512, -616, -172, -1400
2023-02-03 11:39:47.039+00:00, 512, 12, 339, -449
2023-02-03 11:39:47.078+00:00, 512, -1357, -195, -1938
2023-02-03 11:39:47.117+00:00, 512, 394, -1182, -710
2023-02-03 11:39:47.156+00:00, 512, 43, -667, -1104
2023-02-03 11:39:47.195+00:00, 512, -183, -589, -605
