,Time,X,Y,Z
335,1591,-0.16511066,0.15553902,9.746315
336,1596,-0.1172525,0.11246668,9.758279
337,1600,-0.15314612,0.10050214,9.746315
338,1605,-0.11485959,0.107680865,9.729565
339,1610,-0.13160995,0.12443122,9.69367
340,1615,-0.14357449,0.12682413,9.73435
341,1619,-0.105287954,0.105287954,9.724778
342,1624,-0.13400285,0.1483603,9.703242
343,1629,-0.12921704,0.14357449,9.727171
344,1634,-0.10050214,0.12921704,9.727171
345,1638,-0.16511066,0.12443122,9.746315
346,1643,-0.09810923,0.11485959,9.731957
347,1648,-0.12443122,0.1196454,9.736743
348,1653,-0.13400285,0.1459674,9.724778
349,1657,-0.13400285,0.16750357,9.729565
350,1662,-0.088537596,0.1483603,9.748708
351,1667,-0.13160995,0.12203831,9.753493
352,1672,-0.13878867,0.1196454,9.729565
353,1676,-0.13400285,0.15075321,9.7415285
354,1681,-0.11485959,0.12443122,9.708028
355,1686,-0.09810923,0.14118157,9.705635
356,1691,-0.1172525,0.1196454,9.7415285
357,1695,-0.107680865,0.1172525,9.70085
358,1700,-0.12921704,0.09093051,9.731957
359,1705,-0.1459674,0.16271774,9.703242
360,1710,-0.1172525,0.13639577,9.7917795
361,1714,-0.12682413,0.09810923,9.679314
362,1719,-0.11246668,0.107680865,9.729565
363,1724,-0.10050214,0.11246668,9.753493
364,1729,-0.14118157,0.08614469,9.746315
365,1733,-0.16750357,0.11246668,9.746315
366,1738,-0.16271774,0.12682413,9.731957
367,1743,-0.12921704,0.110073775,9.739136
368,1748,-0.16271774,0.12203831,9.748708
369,1752,-0.110073775,0.12682413,9.748708
370,1757,-0.09571633,0.11246668,9.767851
371,1762,-0.15075321,0.15075321,9.712814
372,1767,-0.15793194,0.10050214,9.7415285
373,1771,-0.11246668,0.12682413,9.770244
374,1776,-0.08375178,0.13160995,9.729565
375,1781,-0.06460852,0.1172525,9.746315
376,1786,-0.10289505,0.14118157,9.765458
377,1790,-0.1172525,0.12682413,9.736743
378,1795,-0.13400285,0.1196454,9.705635
379,1800,-0.105287954,0.15314612,9.696064
380,1805,-0.14357449,0.12921704,9.775029
381,1809,-0.12682413,0.09571633,9.715207
382,1814,-0.12203831,0.12443122,9.755886
383,1819,-0.13878867,0.16271774,9.731957
384,1824,-0.1172525,0.13160995,9.765458
385,1828,-0.16032484,0.1483603,9.705635
386,1833,-0.1196454,0.13400285,9.696064
387,1838,-0.1459674,0.17228939,9.727171
388,1843,-0.13160995,0.17468229,9.739136
389,1847,-0.12682413,0.12203831,9.708028
390,1852,-0.1196454,0.105287954,9.705635
391,1857,-0.110073775,0.14357449,9.724778
392,1862,-0.13639577,0.11246668,9.7415285
393,1866,-0.110073775,0.12921704,9.698457
394,1871,-0.08375178,0.15793194,9.753493
395,1876,-0.13400285,0.13878867,9.710421
396,1881,-0.13639577,0.15075321,9.715207
397,1885,-0.11485959,0.12203831,9.763065
398,1890,-0.12203831,0.12921704,9.751101
399,1895,-0.1172525,0.14118157,9.746315
400,1900,-0.18186101,0.105287954,9.703242
401,1904,-0.13160995,0.12921704,9.727171
402,1909,-0.09810923,0.14118157,9.746315
403,1914,-0.15553902,0.12443122,9.7176
404,1919,-0.10050214,0.14118157,9.722385
405,1923,-0.11246668,0.1196454,9.739136
406,1928,-0.16271774,0.15314612,9.753493
407,1933,-0.12921704,0.11246668,9.746315
408,1938,-0.1196454,0.14118157,9.7176
409,1942,-0.12921704,0.107680865,9.784601
410,1947,-0.12682413,0.13160995,9.765458
411,1952,-0.13400285,0.1196454,9.7176
412,1957,-0.1172525,0.12682413,9.696064
413,1961,-0.1483603,0.15793194,9.731957
414,1966,-0.1172525,0.10050214,9.767851
415,1971,-0.15793194,0.09571633,9.708028
416,1976,-0.12443122,0.15075321,9.748708
417,1980,-0.107680865,0.12443122,9.722385
418,1985,-0.15314612,0.16989647,9.748708
419,1990,-0.1459674,0.13878867,9.724778
420,1995,-0.107680865,0.10050214,9.73435
421,1999,-0.105287954,0.12682413,9.765458
422,2004,-0.13400285,0.12443122,9.729565
423,2009,-0.12682413,0.15553902,9.731957
424,2014,-0.13639577,0.1196454,9.686492
425,2018,-0.14118157,0.12203831,9.729565
426,2023,-0.15314612,0.14118157,9.7415285
427,2028,-0.1196454,0.13878867,9.7176
428,2033,-0.09332342,0.1172525,9.760673
429,2037,-0.09571633,0.16750357,9.743921
430,2042,-0.16032484,0.13639577,9.705635
431,2047,-0.11485959,0.15793194,9.789387
432,2052,-0.1483603,0.15553902,9.719993
433,2056,-0.13878867,0.15553902,9.743921
434,2061,-0.11485959,0.12203831,9.710421
435,2066,-0.13639577,0.1196454,9.748708
436,2071,-0.18186101,0.14118157,9.698457
437,2075,-0.12682413,0.13639577,9.722385
438,2080,-0.14357449,0.13639577,9.746315
439,2085,-0.10289505,0.14357449,9.698457
440,2090,-0.13400285,0.12682413,9.715207
441,2094,-0.15314612,0.110073775,9.765458
442,2099,-0.14118157,0.12443122,9.736743
443,2104,-0.107680865,0.16032484,9.696064
444,2109,-0.12443122,0.08614469,9.684099
445,2113,-0.088537596,0.12443122,9.703242
446,2118,-0.09810923,0.1459674,9.758279
447,2123,-0.17946811,0.13160995,9.7415285
448,2128,-0.12443122,0.1196454,9.743921
449,2132,-0.16032484,0.13160995,9.758279
450,2137,-0.12682413,0.110073775,9.727171
451,2142,-0.12203831,0.08614469,9.731957
452,2147,-0.13400285,0.14357449,9.760673
453,2151,-0.13878867,0.1172525,9.739136
454,2156,-0.13639577,0.13639577,9.719993
455,2161,-0.14118157,0.10050214,9.710421
456,2166,-0.105287954,0.10050214,9.786994
457,2170,-0.16511066,0.12443122,9.698457
458,2175,-0.15314612,0.15075321,9.743921
459,2180,-0.11485959,0.13160995,9.758279
460,2185,-0.1196454,0.15553902,9.753493
461,2189,-0.12921704,0.17228939,9.743921
462,2194,-0.16511066,0.12682413,9.724778
463,2199,-0.1196454,0.16989647,9.708028
464,2204,-0.11485959,0.13400285,9.729565
465,2208,-0.15793194,0.15314612,9.743921
466,2213,-0.15075321,0.110073775,9.73435
467,2218,-0.12682413,0.16511066,9.722385
468,2223,-0.1172525,0.12443122,9.686492
469,2227,-0.12921704,0.15793194,9.719993
470,2232,-0.16032484,0.09571633,9.7415285
471,2237,-0.110073775,0.15553902,9.73435
472,2242,-0.12443122,0.09332342,9.736743
473,2246,-0.14118157,0.12921704,9.686492
474,2251,-0.1172525,0.13400285,9.724778
475,2256,-0.11485959,0.1483603,9.739136
476,2261,-0.15793194,0.15793194,9.712814
477,2265,-0.06460852,0.10050214,9.739136
478,2270,-0.107680865,0.110073775,9.719993
479,2275,-0.11485959,0.14357449,9.67692
480,2280,-0.12203831,0.17228939,9.767851
481,2284,-0.1172525,0.1483603,9.739136
482,2289,-0.15075321,0.15314612,9.748708
483,2294,-0.11246668,0.16032484,9.770244
484,2299,-0.1196454,0.11246668,9.765458
485,2303,-0.14118157,0.16271774,9.765458
486,2308,-0.12443122,0.105287954,9.758279
487,2313,-0.13878867,0.1459674,9.739136
488,2318,-0.13160995,0.13639577,9.724778
489,2322,-0.088537596,0.12921704,9.743921
490,2327,-0.11246668,0.12443122,9.727171
491,2332,-0.12203831,0.1172525,9.719993
492,2337,-0.12443122,0.1196454,9.758279
493,2341,-0.09810923,0.1459674,9.73435
494,2346,-0.1196454,0.12682413,9.698457
495,2351,-0.14118157,0.13160995,9.753493
496,2356,-0.13400285,0.14357449,9.753493
497,2360,-0.12443122,0.1459674,9.731957
498,2365,-0.13878867,0.1172525,9.722385
499,2370,-0.1483603,0.13160995,9.784601
500,2375,-0.12682413,0.107680865,9.710421
501,2379,-0.110073775,0.110073775,9.7176
502,2384,-0.105287954,0.12921704,9.715207
503,2389,-0.12682413,0.1172525,9.722385
504,2394,-0.16271774,0.1172525,9.7415285
505,2398,-0.11246668,0.16511066,9.7176
506,2403,-0.12443122,0.14357449,9.724778
507,2408,-0.12203831,0.107680865,9.729565
508,2413,-0.110073775,0.12921704,9.73435
509,2417,-0.15314612,0.13160995,9.715207
510,2422,-0.1459674,0.11246668,9.751101
511,2427,-0.13878867,0.1172525,9.751101
512,2432,-0.12921704,0.10050214,9.743921
513,2436,-0.13639577,0.13160995,9.746315
514,2441,-0.107680865,0.10289505,9.736743
515,2446,-0.12921704,0.07896597,9.748708
516,2451,-0.11485959,0.12443122,9.746315
517,2455,-0.15793194,0.10050214,9.710421
518,2460,-0.1172525,0.12682413,9.722385
519,2465,-0.13160995,0.12921704,9.748708
520,2470,-0.17707519,0.13400285,9.727171
521,2474,-0.10050214,0.1196454,9.715207
522,2479,-0.11485959,0.16750357,9.763065
523,2484,-0.13160995,0.19143265,9.782208
524,2489,-0.15314612,0.16511066,9.722385
525,2493,-0.13639577,0.13400285,9.763065
526,2498,-0.15553902,0.110073775,9.758279
527,2503,-0.1483603,0.09571633,9.7415285
528,2508,-0.12203831,0.15075321,9.751101
529,2512,-0.16750357,0.12203831,9.7415285
530,2517,-0.12921704,0.15553902,9.719993
531,2522,-0.071787246,0.13639577,9.736743
532,2527,-0.11485959,0.12203831,9.751101
533,2531,-0.13400285,0.13639577,9.73435
534,2536,-0.12443122,0.16032484,9.772636
535,2541,-0.13639577,0.16032484,9.710421
536,2546,-0.14357449,0.11246668,9.736743
537,2550,-0.13878867,0.15314612,9.739136
538,2555,-0.12203831,0.14357449,9.767851
539,2560,-0.1196454,0.12203831,9.727171
540,2565,-0.14357449,0.107680865,9.708028
541,2569,-0.16271774,0.16271774,9.712814
542,2574,-0.15553902,0.12203831,9.724778
543,2579,1.4979604,-1.3424214,1.5841051
544,2584,6.010985,-3.048565,8.004277
545,2588,-5.1423593,2.7973096,15.467758
546,2593,-1.9908996,1.7922882,13.876474
547,2598,2.3498356,-1.899969,7.1763315
548,2603,0.0598227,0.53840435,8.959048
549,2607,-0.77290934,0.6676214,10.327791
550,2612,0.9140909,-0.46422416,8.468502
551,2617,0.4402951,0.27279153,8.925548
552,2622,-0.63651353,0.39243692,10.504867
553,2626,-0.42833054,0.7346228,10.406757
554,2631,0.54079723,-0.28475606,8.676684
555,2636,0.33979294,-0.20100428,9.363449
556,2641,-0.2919348,0.12443122,10.579046
557,2645,-0.22254045,0.0,9.140909
558,2650,-0.004785816,-0.12682413,9.2485895
559,2655,-0.5551547,0.1196454,10.337363
560,2660,-0.234505,-0.17228939,9.94014
561,2664,-0.12443122,-0.13639577,9.32277
562,2669,-0.33979294,0.009571632,9.810924
563,2674,-0.11246668,-0.045465253,9.636241
564,2679,-0.17468229,-0.026321989,10.07175
565,2683,-0.31825677,0.12682413,9.583597
566,2688,0.37090075,0.27997026,9.794173
567,2693,0.28475606,0.42593765,10.110037
568,2698,-0.107680865,0.7322299,9.703242
569,2702,-0.35415038,0.66283554,9.629062
570,2707,-0.3852582,0.24886245,9.770244
571,2712,-0.13878867,-0.08135887,9.98082
572,2717,-0.047858164,0.15793194,9.629062
573,2721,-0.42593765,-0.40440148,7.887025
574,2726,2.6202343,-1.0193789,8.980584
575,2731,-0.442688,-0.81358874,6.2813835
576,2736,-0.84708947,0.2632199,9.868353
577,2740,0.16032484,0.6125845,10.126787
578,2745,-0.2632199,0.69155043,11.038485
579,2750,-0.10050214,0.1172525,9.746315
580,2755,0.08375178,-0.5431901,8.576182
