time,gFx,gFy,gFz
8.284213,-1.0203,-0.0616,-0.0435
8.303508,-1.03,-0.0706,-0.0559
8.323166,-1.041,-0.0804,-0.0359
8.344814,-1.0315,-0.1021,-0.0249
8.364736,-1.0124,-0.129,-0.0354
8.38399,-1.0112,-0.108,-0.0296
8.406376,-1.0156,-0.0484,-0.0103
8.423411,-1.0054,-0.0044,0.0054
8.443552,-0.9575,-0.0029,-0.0144
8.463794,-0.8808,-0.0169,-0.0738
8.48339,-0.861,-0.0203,-0.0936
8.504474,-0.9443,-0.0173,-0.075
8.523627,-1.0855,-0.0261,-0.0381
8.544144,-1.2101,-0.041,0.0142
8.563969,-1.2125,-0.0633,0.0337
8.583422,-1.0938,-0.0611,0.022
8.603384,-0.9677,-0.054,0.0149
8.62329,-0.9018,-0.0349,0.0164
8.644145,-0.9013,-0.0098,0.0354
8.664887,-0.9404,-0.0166,0.0533
8.683548,-1.019,-0.0252,0.0757
8.703871,-1.0896,-0.0296,0.096
8.723451,-1.0943,-0.0357,0.0814
8.745765,-1.0273,-0.0261,0.0559
8.766038,-0.9707,-0.0086,0.0393
8.783874,-0.946,0.0213,0.0347
8.804749,-0.958,0.0508,0.0296
8.823765,-0.9868,0.0613,0.0467
8.844122,-1.0234,0.0501,0.0581
8.86359,-1.0283,0.0325,0.0349
8.883915,-1.0371,0.0249,0.02
8.90378,-1.0603,0.0235,0.0506
8.923546,-1.0493,0.0315,0.0513
8.944356,-1.0102,0.0442,0.0276
8.963389,-0.9858,0.0432,0.0203
8.984358,-0.9809,0.0264,0.0129
9.003498,-1.0044,0.0081,0.0264
9.024607,-1.0452,0.0051,0.045
9.044113,-1.064,0.0139,0.0586
9.063909,-1.0408,0.0235,0.0506
9.084036,-1.0115,0.0308,0.032
9.103656,-0.9902,0.0362,0.032
9.123672,-0.9751,0.0254,0.0508
9.143649,-0.9687,0.0103,0.0594
9.163726,-0.9863,0.0007,0.0603
9.186949,-1.0046,-0.0088,0.0657
9.204066,-1.0073,-0.011,0.0765
9.22439,-1.0027,0.0034,0.0581
9.243922,-1.0066,0.0205,0.0335
9.263242,-1.0232,0.0237,0.0491
9.283427,-1.0239,0.0303,0.0716
9.303582,-1.0032,0.0464,0.0567
9.323541,-0.988,0.0498,0.0479
9.343753,-0.9892,0.0393,0.0518
9.363475,-0.9904,0.0142,0.0457
9.384396,-1.0173,-0.009,0.0493
9.403949,-1.0325,-0.0198,0.0728
9.423983,-1.0185,-0.0296,0.0621
9.443697,-1.0095,-0.041,0.0454
9.463298,-1.0227,-0.0435,0.0552
9.483571,-1.03,-0.0242,0.0669
9.503698,-1.0178,0.0139,0.0667
9.523429,-1.0097,0.043,0.0638
9.544185,-0.9907,0.0501,0.0547
9.563261,-0.9892,0.0452,0.0498
9.583493,-1.0173,0.0435,0.0491
9.607107,-1.0339,0.0354,0.0296
9.623271,-1.0286,0.0283,0.0462
9.643852,-1.0168,0.0071,0.0586
9.663563,-1.0085,-0.012,-0.0298
9.68342,-1,-0.0413,0.0046
9.703358,-0.9755,-0.0652,0.0396
9.723573,-0.9809,-0.045,-0.0264
9.743503,-1.0288,0.0357,-0.0227
9.763143,-1.0295,0.0831,0.0481
9.783898,-1.0117,0.0767,0.0362
9.803615,-1.0212,0.054,-0.0086
9.824566,-1.0005,0.0249,-0.0227
9.844423,-0.9663,0.0156,-0.0191
9.863253,-0.9572,0.0322,-0.0195
9.883561,-0.987,0.041,-0.0183
9.90447,-1.0315,0.0386,0.0393
9.923468,-1.0369,0.0125,0.0738
9.943938,-1.0178,-0.0203,0.0586
9.96944,-1.0198,-0.0257,0.0232
9.983311,-1.0403,-0.0056,0.001
10.003294,-1.0376,0.0159,0.0169
10.023472,-1.0154,0.0198,0.0259
10.043675,-0.9858,0.0078,0.0137
10.063525,-0.9763,0.002,0.0151
10.083428,-0.9807,0.0144,0.0327
10.103523,-1.0093,0.042,0.0279
